train_file,test_file,version,num_train_seqs,num_test_seqs,train_extract_time_s,test_extract_time_s,total_train_time_s,run_type,model_id_or_k,prediction_time_s,accuracy,precision_macro,recall_macro,f1_macro
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,21,13.3962,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,22,13.8497,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,23,14.3119,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,24,14.7693,0.9996,0.9996,0.9996,0.9996
train10_11000_1.fasta,test90_11000_1.fasta,1,1100,9900,0.3013,3.6161,121.5495,ensemble,25,15.2242,0.9996,0.9996,0.9996,0.9996
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,0,4.3915,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,1,4.2886,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,2,4.3421,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,3,4.3424,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,4,4.2872,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,5,4.2865,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,6,4.2977,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,7,4.3177,0.9998,0.9998,0.9998,0.9998
